Inference for Stan model: MODEL-MIX_pvl_vs_pvl_d.
3 chains, each with iter=130; warmup=100; thin=1; 
post-warmup draws per chain=30, total post-warmup draws=90.

                        mean se_mean     sd     2.5%      25%      50%      75%    97.5% n_eff          Rhat
raw[3,7]               -0.25    0.84   1.16    -1.81    -1.14    -0.57     0.60     2.12     2  2.090000e+00
raw[3,8]                0.22    0.29   0.63    -0.86    -0.16     0.12     0.60     1.57     5  1.170000e+00
raw[3,9]               -0.17    0.43   0.63    -1.36    -0.59    -0.10     0.35     0.86     2  1.760000e+00
raw[3,10]               0.12    0.43   0.91    -1.84    -0.40    -0.05     0.81     1.78     4  1.200000e+00
raw[3,11]               0.74    1.04   1.34    -1.53    -0.79     1.20     1.81     2.52     2  3.030000e+00
raw[3,12]              -0.96    0.14   0.97    -2.61    -1.53    -1.07    -0.58     1.14    50  1.060000e+00
raw[3,13]              -0.13    0.33   0.68    -1.39    -0.60    -0.07     0.37     1.03     4  1.220000e+00
raw[3,14]               0.23    0.16   0.69    -0.85    -0.29     0.23     0.64     1.44    18  1.110000e+00
raw[3,15]               0.28    0.19   0.82    -1.27    -0.25     0.31     0.90     1.58    19  1.090000e+00
raw[3,16]               0.00    0.62   0.99    -2.05    -0.58     0.08     0.61     1.53     3  1.470000e+00
raw[3,17]               0.45    0.07   0.61    -0.47    -0.03     0.43     0.77     1.64    80  9.900000e-01
raw[3,18]              -1.32    0.08   0.75    -2.67    -1.86    -1.39    -0.93     0.26    90  1.000000e+00
raw[3,19]               0.33    0.09   0.58    -0.78    -0.03     0.27     0.62     1.98    43  1.050000e+00
raw[3,20]              -0.22    1.18   1.55    -2.69    -1.28    -0.74     1.38     2.53     2  2.610000e+00
raw[3,21]              -0.35    0.40   0.94    -2.18    -1.02    -0.40     0.46     1.17     6  1.220000e+00
raw[3,22]               1.14    1.03   1.33    -1.26    -0.34     1.75     2.16     2.81     2  3.120000e+00
raw[4,1]                0.98    0.44   0.83    -1.22     0.81     1.19     1.43     2.00     4  1.310000e+00
raw[4,2]               -0.63    0.37   0.77    -1.95    -1.18    -0.66    -0.12     0.95     4  1.220000e+00
raw[4,3]               -0.45    0.47   0.90    -1.98    -1.00    -0.61    -0.04     1.56     4  1.260000e+00
raw[4,4]               -0.41    0.32   0.81    -2.20    -0.87    -0.39     0.08     0.91     6  1.110000e+00
raw[4,5]                0.61    0.07   0.63    -0.47     0.18     0.59     0.91     2.20    90  1.010000e+00
raw[4,6]               -0.77    0.39   0.78    -2.22    -1.32    -0.83    -0.51     0.96     4  1.230000e+00
raw[4,7]                0.55    0.46   0.88    -2.11     0.33     0.80     1.09     1.58     4  1.500000e+00
raw[4,8]                0.37    0.10   0.67    -1.35     0.12     0.46     0.77     1.62    41  1.010000e+00
raw[4,9]                0.49    0.08   0.77    -1.51     0.24     0.57     1.01     1.74    90  1.040000e+00
raw[4,10]               0.35    0.40   0.76    -1.44    -0.11     0.55     0.84     1.40     4  1.240000e+00
raw[4,11]              -0.61    0.15   0.76    -1.75    -1.13    -0.72    -0.18     1.07    25  1.080000e+00
raw[4,12]               0.01    0.08   0.73    -1.29    -0.47     0.04     0.46     1.30    90  1.060000e+00
raw[4,13]              -0.11    0.07   0.62    -1.22    -0.62    -0.01     0.27     0.96    73  9.900000e-01
raw[4,14]              -0.63    0.17   0.88    -2.25    -0.98    -0.59    -0.10     1.15    26  1.100000e+00
raw[4,15]              -1.01    0.29   0.87    -2.32    -1.61    -1.11    -0.57     1.04     9  1.150000e+00
raw[4,16]               0.48    0.08   0.76    -1.08     0.17     0.58     1.00     1.72    90  1.070000e+00
raw[4,17]              -0.11    0.07   0.67    -1.57    -0.44    -0.08     0.25     1.29    90  1.010000e+00
raw[4,18]               0.19    0.33   0.65    -1.21    -0.23     0.26     0.61     1.20     4  1.220000e+00
raw[4,19]               0.34    0.07   0.62    -1.04    -0.02     0.41     0.67     1.53    90  1.000000e+00
raw[4,20]               1.03    0.51   0.76    -0.53     0.72     1.24     1.54     2.20     2  1.640000e+00
raw[4,21]              -1.02    0.46   0.84    -2.14    -1.69    -1.25    -0.50     0.46     3  1.380000e+00
raw[4,22]              -0.28    0.29   0.69    -1.16    -0.66    -0.48    -0.16     1.64     6  1.290000e+00
lp_parts[1]         -2959.58   35.49  44.51 -3006.78 -2990.33 -2984.00 -2899.65 -2892.89     2  5.680000e+00
lp_parts[2]         -3189.73  428.14 614.61 -4844.38 -3491.41 -2843.16 -2833.62 -2825.83     2  1.850000e+00
lp_parts_reduced[1]  -102.01    7.72  73.20  -172.72  -154.95  -143.67     0.00     0.00    90  8.410000e+00
lp_parts_reduced[2]  -332.17   62.34 591.36 -1951.48  -593.97     0.00     0.00     0.00    90  1.770000e+00
lp_tmp[1,1,1]          -1.16    0.04   0.18    -1.38    -1.29    -1.21    -1.08    -0.78    23  1.140000e+00
