Inference for Bugs model at "GCM_3J.txt", fit using jags,
 2 chains, each with 11000 iterations (first 1000 discarded)
 n.sims = 20000 iterations saved
             mu.vect sd.vect     2.5%      25%      50%      75%    97.5%  Rhat n.eff
w[2]           0.139   0.162    0.004    0.037    0.079    0.172    0.679 1.007   510
w[3]           0.804   0.078    0.662    0.758    0.794    0.846    0.977 1.002  1300
w[4]           0.808   0.073    0.677    0.763    0.798    0.849    0.969 1.002  2000
w[5]           0.824   0.074    0.700    0.773    0.810    0.873    0.980 1.002  2200
w[6]           0.750   0.070    0.574    0.719    0.761    0.793    0.865 1.001 20000
w[7]           0.722   0.126    0.345    0.692    0.754    0.792    0.892 1.003  5300
w[8]           0.788   0.065    0.655    0.753    0.786    0.823    0.926 1.001 12000
w[9]           0.690   0.113    0.388    0.645    0.724    0.768    0.822 1.001  4700
w[10]          0.809   0.068    0.688    0.765    0.800    0.849    0.961 1.001  7400
w[11]          0.759   0.068    0.593    0.726    0.766    0.800    0.882 1.001 20000
w[12]          0.778   0.073    0.615    0.742    0.778    0.816    0.930 1.003 17000
w[13]          0.733   0.092    0.480    0.699    0.754    0.789    0.864 1.001 20000
w[14]          0.690   0.118    0.365    0.646    0.726    0.770    0.826 1.031   260
w[15]          0.744   0.112    0.426    0.711    0.765    0.802    0.921 1.020  1200
w[16]          0.811   0.074    0.679    0.764    0.801    0.853    0.974 1.002 11000
w[17]          0.750   0.071    0.570    0.717    0.760    0.793    0.868 1.001  5100
w[18]          0.799   0.073    0.661    0.756    0.792    0.840    0.961 1.001  3000
w[19]          0.724   0.089    0.486    0.689    0.745    0.781    0.847 1.002  1900
w[20]          0.755   0.070    0.582    0.723    0.765    0.798    0.877 1.003  2900
w[21]          0.786   0.085    0.604    0.746    0.784    0.828    0.962 1.030 20000
w[22]          0.647   0.280    0.018    0.641    0.761    0.808    0.959 1.389    10
w[23]          0.246   0.313    0.003    0.027    0.066    0.506    0.872 1.311     9
w[24]          0.263   0.285    0.005    0.045    0.114    0.461    0.813 1.159    14
w[25]          0.130   0.146    0.005    0.037    0.078    0.164    0.596 1.002 20000
w[26]          0.829   0.076    0.699    0.775    0.815    0.882    0.984 1.002  1600
w[27]          0.076   0.102    0.002    0.022    0.048    0.090    0.340 1.003   700
w[28]          0.793   0.063    0.668    0.756    0.790    0.828    0.924 1.001 20000
w[29]          0.699   0.204    0.072    0.696    0.763    0.804    0.936 1.019   350
w[30]          0.706   0.125    0.346    0.673    0.743    0.783    0.855 1.003  2500
w[31]          0.619   0.285    0.014    0.545    0.749    0.797    0.938 1.023   310
w[32]          0.709   0.114    0.385    0.674    0.742    0.781    0.849 1.015   350
w[33]          0.038   0.034    0.001    0.013    0.028    0.052    0.127 1.002  1400
w[34]          0.041   0.057    0.001    0.013    0.028    0.053    0.149 1.001  4200
w[35]          0.797   0.076    0.649    0.753    0.790    0.837    0.965 1.003  4300
w[36]          0.779   0.119    0.501    0.744    0.785    0.832    0.969 1.228   120
w[37]          0.720   0.094    0.467    0.684    0.743    0.780    0.846 1.019   450
w[38]          0.483   0.341    0.008    0.077    0.666    0.779    0.928 1.006   290
w[39]          0.035   0.030    0.001    0.013    0.027    0.050    0.111 1.002  1300
w[40]          0.604   0.289    0.016    0.444    0.744    0.793    0.927 1.029   120
wpredg[1]      0.159   0.230    0.003    0.028    0.062    0.152    0.875 1.005   400
wpredg[2]      0.735   0.154    0.223    0.714    0.768    0.807    0.949 1.002  2100
z[1]           1.863   0.347    1.000    2.000    2.000    2.000    2.000 1.058    64
z[2]           1.154   0.361    1.000    1.000    1.000    1.000    2.000 1.009   370
z[3]           1.923   0.269    1.000    2.000    2.000    2.000    2.000 1.002  2900
z[4]           1.923   0.267    1.000    2.000    2.000    2.000    2.000 1.002  3800
z[5]           1.926   0.261    1.000    2.000    2.000    2.000    2.000 1.001  7800
z[6]           1.919   0.273    1.000    2.000    2.000    2.000    2.000 1.002  3400
z[7]           1.925   0.311    1.000    2.000    2.000    2.000    2.000 1.002  2600
z[8]           1.920   0.271    1.000    2.000    2.000    2.000    2.000 1.002  3300
z[9]           1.904   0.295    1.000    2.000    2.000    2.000    2.000 1.001 11000
z[10]          1.923   0.266    1.000    2.000    2.000    2.000    2.000 1.002  4100
z[11]          1.917   0.276    1.000    2.000    2.000    2.000    2.000 1.003  2300
z[12]          1.921   0.270    1.000    2.000    2.000    2.000    2.000 1.002  4100
z[13]          1.916   0.278    1.000    2.000    2.000    2.000    2.000 1.004  1500
z[14]          1.899   0.302    1.000    2.000    2.000    2.000    2.000 1.006   770
z[15]          1.947   0.326    1.000    2.000    2.000    2.000    3.000 1.001 20000
z[16]          1.926   0.262    1.000    2.000    2.000    2.000    2.000 1.002  4200
z[17]          1.919   0.273    1.000    2.000    2.000    2.000    2.000 1.002  3900
z[18]          1.923   0.266    1.000    2.000    2.000    2.000    2.000 1.002  2900
z[19]          1.916   0.278    1.000    2.000    2.000    2.000    2.000 1.002  3300
z[20]          1.919   0.273    1.000    2.000    2.000    2.000    2.000 1.005  1300
z[21]          1.928   0.274    1.000    2.000    2.000    2.000    2.000 1.001 15000
z[22]          2.577   0.566    1.000    2.000    3.000    3.000    3.000 1.023    72
z[23]          1.684   0.903    1.000    1.000    1.000    3.000    3.000 1.409     7
z[24]          1.383   0.574    1.000    1.000    1.000    2.000    3.000 1.192    13
z[25]          1.135   0.342    1.000    1.000    1.000    1.000    2.000 1.003  1300
z[26]          1.923   0.266    1.000    2.000    2.000    2.000    2.000 1.004  1600
z[27]          1.122   0.354    1.000    1.000    1.000    1.000    2.000 1.045   100
z[28]          1.924   0.265    1.000    2.000    2.000    2.000    2.000 1.003  2400
z[29]          2.876   0.405    1.000    3.000    3.000    3.000    3.000 1.004   920
z[30]          1.905   0.293    1.000    2.000    2.000    2.000    2.000 1.001  5500
z[31]          2.885   0.402    1.000    3.000    3.000    3.000    3.000 1.057   150
z[32]          1.910   0.286    1.000    2.000    2.000    2.000    2.000 1.003  2000
z[33]          1.099   0.299    1.000    1.000    1.000    1.000    2.000 1.045   110
z[34]          1.102   0.312    1.000    1.000    1.000    1.000    2.000 1.036   140
z[35]          1.922   0.269    1.000    2.000    2.000    2.000    2.000 1.003  2400
z[36]          2.012   0.393    1.000    2.000    2.000    2.000    3.000 1.005  1200
z[37]          1.913   0.282    1.000    2.000    2.000    2.000    2.000 1.005  1200
z[38]          2.737   0.593    1.000    3.000    3.000    3.000    3.000 1.003   690
z[39]          1.100   0.300    1.000    1.000    1.000    1.000    2.000 1.039   130
z[40]          2.650   0.675    1.000    3.000    3.000    3.000    3.000 1.001  3700
deviance    1058.401  11.258 1037.554 1050.685 1057.939 1065.678 1081.779 1.001 13000
