Inference for Stan model: model.
10 chains, each with iter=2500; warmup=500; thin=1; 
post-warmup draws per chain=2000, total post-warmup draws=20000.

                mean se_mean     sd     2.5%      25%      50%      75%    97.5% n_eff  Rhat
w[28]          0.782   0.001  0.046    0.690    0.753    0.782    0.811    0.876  3691 1.002
w[29]          0.475   0.129  0.351    0.010    0.069    0.715    0.778    0.862     7 2.294
w[30]          0.747   0.006  0.084    0.613    0.725    0.757    0.787    0.844   227 1.073
w[31]          0.657   0.093  0.263    0.025    0.708    0.760    0.795    0.873     8 2.381
w[32]          0.749   0.004  0.073    0.629    0.725    0.758    0.786    0.841   303 1.036
w[33]          0.045   0.000  0.032    0.002    0.020    0.039    0.063    0.123  5287 1.001
w[34]          0.045   0.000  0.033    0.002    0.020    0.039    0.064    0.126  4735 1.001
w[35]          0.781   0.001  0.049    0.686    0.750    0.780    0.811    0.886  4033 1.002
w[36]          0.770   0.009  0.095    0.655    0.745    0.777    0.809    0.889   119 1.092
w[37]          0.753   0.001  0.055    0.635    0.726    0.758    0.787    0.841  1918 1.006
w[38]          0.593   0.095  0.307    0.017    0.223    0.750    0.789    0.866    11 1.754
w[39]          0.043   0.000  0.031    0.002    0.019    0.037    0.060    0.116  4708 1.001
w[40]          0.641   0.072  0.275    0.022    0.700    0.758    0.793    0.870    15 1.801
muc            1.376   0.007  0.135    1.087    1.306    1.387    1.462    1.606   368 1.026
muw[1]         0.062   0.001  0.031    0.017    0.040    0.057    0.079    0.136  1232 1.008
muw[2]         0.770   0.001  0.026    0.715    0.753    0.771    0.788    0.819  1615 1.009
sigmac         0.502   0.006  0.147    0.278    0.403    0.481    0.577    0.861   706 1.023
sigmaw         0.043   0.001  0.020    0.021    0.027    0.037    0.053    0.096   720 1.019
wpredg[1]      0.071   0.001  0.050    0.005    0.036    0.061    0.095    0.197  2362 1.005
wpredg[2]      0.771   0.001  0.054    0.658    0.740    0.771    0.803    0.877  5285 1.003
cpredg[1]      1.404   0.011  0.516    0.375    1.073    1.398    1.731    2.452  2319 1.002
cpredg[2]      1.390   0.008  0.512    0.340    1.063    1.393    1.713    2.412  4143 1.002
predyg[1,1]    5.098   0.012  1.407    2.000    4.000    5.000    6.000    8.000 14248 1.000
predyg[1,2]    4.070   0.012  1.469    1.000    3.000    4.000    5.000    7.000 16042 1.000
predyg[1,3]    6.737   0.016  1.175    4.000    6.000    7.000    8.000    8.000  5624 1.001
predyg[1,4]    1.179   0.016  1.187    0.000    0.000    1.000    2.000    4.000  5428 1.001
predyg[1,5]    6.663   0.015  1.207    4.000    6.000    7.000    8.000    8.000  6694 1.001
predyg[1,6]    1.103   0.016  1.151    0.000    0.000    1.000    2.000    4.000  5251 1.002
predyg[1,7]    4.165   0.011  1.465    1.000    3.000    4.000    5.000    7.000 19032 1.001
predyg[1,8]    3.107   0.011  1.425    1.000    2.000    3.000    4.000    6.000 16012 1.000
predyg[2,1]    6.841   0.015  1.185    4.000    6.000    7.000    8.000    8.000  6186 1.001
predyg[2,2]    6.511   0.014  1.272    4.000    6.000    7.000    7.000    8.000  8362 1.001
predyg[2,3]    5.806   0.013  1.380    3.000    5.000    6.000    7.000    8.000 11064 1.000
predyg[2,4]    3.046   0.012  1.502    0.000    2.000    3.000    4.000    6.000 14719 1.000
predyg[2,5]    5.061   0.013  1.484    2.000    4.000    5.000    6.000    8.000 13314 1.000
predyg[2,6]    2.284   0.013  1.399    0.000    1.000    2.000    3.000    5.000 12141 1.001
